ID,rcore_eff,rcore_err_eff,L_eff,L_err_eff,rcore_king,rcore_err_king,c,c_err,rh_king,rh_err_king,L_king,L_err_king,logt,logt_inf,logt_sup,E(B-V),Z,Mass,Mass_sup,Mass_inf,log(M/L),log(t_rh)
H86-87,1.6766314544098395,0.6024110596058204,,,4.062160084191141,3.4708796616948234,0.2623130930668164,0.6430950585101831,2.4580760373358617,0.7897844463333915,3.8115599400815,1.0712131474681408,8.25831,7.96079,8.4654,0.145739,0.004,2.9168548935907186,0.27135136395267695,0.45635136395267695,-2.7723621486579404,7.541332776824339
H86-97,1.5067905517067368,0.3704063331308504,,,2.707460126549172,0.8613217015646254,0.4605125638608238,0.2441132854585124,2.218633365388225,0.4827319811275319,4.388727391605934,0.3490559128458928,7.92085,7.91634,8.18823,0.218729,0.004,3.0987163905275095,0.2879128417630787,0.4729128417630787,-3.1626455973912533,7.515605342204041
HW10,2.9892965425432454,0.7095143086860833,,,4.389832834371633,1.3711284215837485,0.823139082101229,0.3197722103733637,5.664789289495348,1.4170464092664772,3.916092720229816,0.2590127921671349,9.58538,9.49882,9.83318,0.0867324,0.002,4.293643153098839,0.3749455701221697,0.5599455701221697,-1.3551971499211897,8.719080350344237
HW11,3.5953534005794814,1.3061012317857237,,,5.3507556788561725,2.4670496126273016,0.8548827035583072,0.5550732305228876,7.143878199754162,2.3051720110645686,4.222391219330234,0.3602580856030093,,,,,,,,,,9999.99
HW14,7.123380574567248,2.1545914351941096,,,13.554758731358753,9.959554995598904,0.4074300966472134,0.6791533928637808,9.556490438618956,2.7276678725889867,4.266609049986321,0.5186350778590306,9.50477,9.48439,9.5129,0.115773,0.002,4.228359288725017,0.24036697860084683,0.4253669786008468,-1.903163750644854,9.025593597961164
HW18,0.4730656621262662,0.1310888362251027,,,0.8041939765552704,0.2931418486980703,0.7681227445622698,0.3401658716037867,0.9608016076886168,0.2939395938088794,2.721048637058621,0.2697388412508192,,,,,,,,,,9999.99
HW22,0.9708395198940132,0.1806019472232246,3.8600567713760574,0.5788352351063996,0.8992739337577684,0.181330502541765,1.2856437602187307,0.1454305374236771,1.9397887347656613,0.3525402124879323,3.779760126977483,0.1675081683280639,9.40767,9.38149,9.43472,0.0200665,0.002,3.5925253858868325,0.2605463458526342,0.4455463458526342,-0.2675313854892249,7.7287796761859955
HW26,0.1712611975541992,0.0404586967287645,4.109549095182224,0.4876903898500735,,,,,,,,,,,,,,,,,,9999.99
HW34,,,,,1.8737146809877063,1.3518960945167433,0.1762036468370946,0.4555743153817216,0.9698943673828307,0.2749174854505654,2.904610398827393,2.165751609490344,9.58402,9.49457,9.65116,0.0623206,0.002,3.3516784440928675,0.3795568966801976,0.5645568966801976,0.4112630773845285,7.203112965521626
HW35,0.8925350638859301,0.1664545710459783,3.614200910937356,0.6190906307815596,0.9241577861209342,0.1816467726390113,1.0802825225088906,0.1729161701032366,1.4124086725012477,0.2544214781151259,3.4744961402806505,0.1733017759106943,8.18327,7.85091,8.49528,0.124969,0.004,2.8068065344525523,0.2929019957098959,0.4779019957098959,-0.8073943764848037,7.136995206203165
HW36,0.9002454030368191,0.2421253527370465,3.1154651923103907,0.2922260595986036,1.2168234114787035,0.4939077607410914,0.5128683097526958,0.248673472670198,1.1244712821844691,0.3027843807052252,3.093080145751616,0.4046762080974476,9.12114,9.01329,9.30724,0.0886856,0.002,2.741581739284027,0.4807451384056946,0.6657451384056946,-0.3738834530263637,7.037596289170855
HW37,,,,,3.4200900129837075,2.7003080751241963,0.244099010436534,0.4007869326790469,2.13982944803837,0.5634287519814182,4.145215030318868,2.300433760424764,7.60265,7.22491,7.8798,0.111119,0.004,2.3023244337034012,0.37745887522060156,0.5624588752206016,-1.9510994515079791,7.206156335950108
HW38,2.4073196022922976,0.7299613086362996,3.6441071870832222,0.9923383622749946,3.2625124874829776,1.8170805594648896,0.5813163939073762,0.6111840631884665,2.9339304613330635,0.8891346592843317,3.3754932726162035,0.3333432047140517,9.59238,9.27808,9.62604,0.056651,0.002,3.7183372403226276,0.2924542062459014,0.4774542062459014,0.0742300532394053,8.064494266751778
HW40,1.6469493657104144,0.3015175969808399,3.587776556998415,0.5284026091298536,1.6666119243524913,0.31613312081189,1.0665194033956007,0.1095487712565579,2.876342983269708,0.5426201320676853,3.506444970231605,0.1710143212448731,9.43169,9.39502,9.51034,0.0374096,0.002,3.5273217904715723,0.24361809060530065,0.42861809060530065,-0.0604547665268424,7.962853955369708
HW41,2.7996111665917094,0.9132884519854768,,,5.572315923405188,2.343811432668323,0.7652693968355018,0.5178137296856905,6.434642943605469,1.7436832501705593,3.893332069223405,0.3134378135569869,9.56104,9.48486,9.62381,0.0849065,0.002,3.8525696491135264,0.2435362675137362,0.4285362675137362,-1.6470757093545645,8.625103692612928
HW43,1.6245752497462218,0.4330618381466079,,,2.576221294962683,0.9231974466809106,0.6183180142933833,0.3215735728827136,2.5853746730548584,0.6559531762908767,3.7136209858176814,0.2901752117280698,8.07507,7.98075,8.26723,0.0619627,0.004,3.1111448482867465,0.26292135104536957,0.44792135104536956,-2.0967539078063795,7.630207021062362
HW44,1.4168108168405544,0.5892737432370772,,,4.349066961742575,3.5252254249838444,0.2455412137195945,0.5897565810297359,2.5277871949915025,0.8452279734856755,3.573886231847196,1.2164516837646673,8.62672,8.26789,8.76952,0.111029,0.004,2.708272143674309,0.3457723195576334,0.5307723195576334,-2.633874555384156,7.51452007349673
HW48,0.9576991547063084,0.1810822843994919,4.061819124775472,0.7415838876788166,0.927461488809832,0.1824832336920532,1.377264576077546,0.2067421189110346,1.9246341352753047,0.3774517618848396,3.896528633758644,0.1644980681290286,8.1128,7.88667,8.18617,0.097498,0.004,3.00914482708573,0.2983364632998397,0.4833364632998397,-1.0526742976897414,7.404234245116783
HW50,1.1278124606137565,0.6564002111622594,,,3.5772432096987066,3.4015854314216405,0.5184197074921368,0.9920134251458832,2.9884870194983466,1.0496460271304284,3.4562191838867324,0.488566718927834,8.13552,7.8738,8.2076,0.106444,0.004,2.6510763304513847,0.25169732603841183,0.4366973260384118,-2.379182715999414,7.569227269007004
HW52,1.9061795970200155,0.5329244730510878,3.976433171719036,0.6364246770059777,4.257169470433052,1.5861354399969945,0.2342109894124446,0.198216382432382,2.6005292725452147,0.5339665898379996,3.8021570647078784,1.1908663871963656,8.13608,7.91387,8.45848,0.0400786,0.004,2.7704012893238215,0.35130241543968393,0.5363024154396839,-1.2060318823952143,7.518942045087692
